taxpayer_id,filing_status,state,tax_year,primary_income_src,gross_income,capital_gains,dividend_income,other_income,total_income,standard_deduction,itemized_deductions,uses_itemized,deduction_used,taxable_income,federal_tax,state_tax,social_security_tax,medicare_tax,fica_total,total_tax_liability,effective_tax_rate,marginal_tax_rate,tax_withheld,refund_or_owed,dependents,child_tax_credit,filing_date,mortgage_interest,charitable_giving,medical_expenses,salt_deduction
1,hoh,NY,2024,wages,191848.86,0,0,0,191848.86,21900,53899.66,True,53899.66,137949.2,26150.31,9449.52,10453.2,2781.81,13235.01,48834.84,25.45,24.0,25518.94,-631.37,3,6000,2024-08-26,17197.55,0,0,0
2,married,CA,2024,self_employment,144155.79,0,0,3365.95,147521.74,29200,0,False,29200,118321.74,16136.78,11003.92,8937.66,2090.26,11027.92,38168.62,25.87,22.0,14184.47,-1952.31,2,4000,2024-09-10,0,0,0,0
3,married,CA,2024,rental,85071.93,9660.8,0,6185.2,100917.93,29200,10813.3,False,29200,71717.93,8142.15,6669.77,5274.46,1233.54,6508.0,21319.92,21.13,12.0,7167.54,-974.61,2,4000,2024-04-09,10813.3,0,0,0
4,hoh,IL,2024,self_employment,83483.48,0,0,6480.35,89963.83,21900,31419.93,True,31419.93,58543.9,7932.66,2897.92,5175.98,1210.51,6386.49,17217.07,19.14,22.0,7287.85,-644.81,0,0,2023-11-20,0,2623.35,0,8816.52
5,married,WA,2024,wages,72471.14,19053.41,0,0,91524.55,29200,0,False,29200,62324.55,7014.95,0.0,4493.21,1050.83,5544.04,12558.99,13.72,12.0,7887.36,872.41,3,6000,2023-05-27,0,0,0,0
6,married,TX,2024,self_employment,152822.96,34248.26,0,0,187071.22,29200,0,False,29200,157871.22,24837.67,0.0,9475.02,2215.93,11690.95,36528.62,19.53,22.0,28543.39,3705.72,1,2000,2024-06-05,0,0,0,0
7,married,NY,2024,wages,218748.15,0,0,0,218748.15,29200,69139.36,True,69139.36,149608.79,23019.93,10248.2,10453.2,3171.85,13625.050000000001,46893.18,21.44,22.0,24874.87,1854.94,2,4000,2023-04-25,0,14307.47,0,28301.71
8,married,OH,2024,self_employment,98938.89,25996.78,0,0,124935.67,29200,0,False,29200,95735.67,11167.85,3829.43,6134.21,1434.61,7568.82,22566.1,18.06,22.0,12550.3,1382.45,2,4000,2024-10-16,0,0,0,0
9,hoh,VA,2024,self_employment,43275.26,7002.53,2295.12,0,52572.91,21900,0,False,21900,30672.91,3448.75,1763.69,2683.07,627.49,3310.5600000000004,8523.0,16.21,12.0,3266.82,-181.93,0,0,2023-04-25,0,0,0,0
10,married,WA,2024,self_employment,25716.16,7305.57,0,0,33021.73,29200,0,False,29200,3821.73,382.17,0.0,1594.4,372.88,1967.2800000000002,2349.45,7.11,10.0,332.78,-49.39,4,6604.35,2023-05-09,0,0,0,0
11,single,GA,2024,retirement,36512.7,6644.51,3391.71,6898.68,53447.6,14600,0,False,14600,38847.6,4429.71,2136.62,2263.79,529.43,2793.22,9359.55,17.51,12.0,4712.7,282.99,3,6000,2024-11-18,0,0,0,0
12,hoh,IL,2024,rental,135945.97,0,0,0,135945.97,21900,0,False,21900,114045.97,20413.53,5645.28,8428.65,1971.22,10399.869999999999,36458.68,26.82,24.0,20743.75,330.22,4,8000,2023-08-14,0,0,0,0
13,single,NY,2024,wages,76511.9,19731.7,0,0,96243.6,14600,20212.07,True,20212.07,76031.53,11779.94,5208.16,4743.74,1109.42,5853.16,22841.26,23.73,22.0,10355.5,-1424.44,3,6000,2023-12-29,0,0,8458.36,0
14,married,OH,2024,rental,130937.14,0,8460.89,0,139398.03,29200,8129.81,False,29200,110198.03,14349.57,4407.92,8118.1,1898.59,10016.69,28774.18,20.64,22.0,15675.57,1326.0,4,8000,2023-04-11,2730.15,0,3361.08,0
15,single,NC,2024,wages,243024.16,61876.07,0,0,304900.23,14600,0,False,14600,290300.23,71979.83,15240.76,10453.2,3523.85,13977.050000000001,101197.64,33.19,35.0,69842.9,-2136.93,0,0,2023-06-18,0,0,0,0
16,married,CA,2024,rental,47128.43,6433.15,0,9954.23,63515.81,29200,0,False,29200,34315.81,3653.9,3191.37,2921.96,683.36,3605.32,10450.59,16.45,12.0,3715.03,61.13,3,6000,2023-06-08,0,0,0,0
17,single,WA,2024,self_employment,194211.23,31590.12,1110.21,0,226911.56,14600,28426.33,True,28426.33,198485.23,41201.77,0.0,10453.2,2816.06,13269.26,54471.03,24.01,32.0,46025.93,4824.16,1,2000,2024-08-15,5144.27,2863.29,0,20418.77
18,hoh,CA,2024,retirement,28198.34,4781.54,0,0,32979.88,21900,0,False,21900,11079.88,1107.99,1030.43,1748.3,408.88,2157.18,4295.6,13.02,10.0,1164.41,56.42,2,4000,2023-09-02,0,0,0,0
19,married,OH,2024,self_employment,139262.69,0,0,725.43,139988.12,29200,47549.0,True,47549.0,92439.12,10628.69,3697.56,8634.29,2019.31,10653.6,24979.85,17.84,12.0,9537.38,-1091.31,4,8000,2024-12-21,20918.2,0,0,0
20,married,VA,2024,retirement,20782.31,1866.53,1951.31,0,24600.15,29200,0,False,29200,0,0.0,0.0,1288.5,301.34,1589.84,1589.84,6.46,10.0,0.0,0.0,0,0,2024-07-20,0,0,0,0
21,single,WA,2024,investment,304390.76,18591.94,8035.43,0,331018.13,14600,22517.64,True,22517.64,308500.49,78349.92,0.0,10453.2,4413.67,14866.87,93216.79,28.16,35.0,84020.05,5670.13,4,8000,2024-12-23,3222.8,0,0,0
